iter	Passed	Remaining
406	5931	37786
407	5945	37770
408	5959	37754
409	5973	37736
410	5989	37726
411	6003	37710
412	6018	37700
413	6032	37679
414	6046	37662
415	6060	37642
416	6075	37632
417	6089	37614
418	6103	37595
419	6116	37574
420	6130	37554
421	6144	37534
422	6158	37521
423	6171	37497
424	6185	37479
425	6199	37459
426	6214	37444
427	6228	37426
428	6242	37409
429	6256	37390
430	6269	37370
431	6283	37354
432	6297	37335
433	6311	37318
434	6325	37299
435	6341	37293
436	6356	37277
437	6370	37260
438	6383	37241
439	6397	37223
440	6411	37203
441	6424	37183
442	6437	37157
443	6450	37135
444	6464	37116
445	6478	37099
446	6492	37082
447	6506	37062
448	6520	37044
449	6534	37029
450	6548	37010
451	6561	36990
452	6577	36983
453	6593	36976
454	6609	36966
455	6624	36957
456	6639	36947
457	6656	36945
458	6672	36938
459	6687	36928
460	6702	36914
461	6716	36895
462	6730	36877
463	6744	36864
464	6758	36845
465	6772	36826
466	6786	36808
467	6799	36789
468	6814	36773
469	6827	36754
470	6841	36737
471	6855	36719
472	6869	36699
473	6882	36679
474	6896	36658
475	6910	36641
476	6924	36625
477	6938	36608
478	6952	36590
479	6966	36573
480	6980	36554
481	6993	36534
482	7007	36514
483	7021	36498
484	7034	36480
485	7049	36465
486	7063	36446
487	7078	36438
488	7094	36428
489	7109	36417
490	7123	36402
491	7138	36388
492	7152	36371
493	7166	36353
494	7180	36335
495	7194	36319
496	7207	36300
497	7222	36284
498	7236	36267
499	7249	36247
500	7263	36228
501	7277	36211
502	7291	36194
503	7304	36176
504	7318	36157
505	7332	36138
506	7346	36123
507	7359	36103
508	7373	36086
509	7387	36067
510	7401	36049
511	7416	36037
512	7430	36021
513	7443	36002
514	7457	35984
515	7471	35965
516	7485	35949
517	7499	35932
518	7512	35913
519	7526	35895
520	7540	35878
521	7554	35861
522	7568	35843
523	7582	35827
524	7595	35809
525	7610	35794
526	7625	35782
527	7639	35765
528	7653	35749
529	7667	35734
530	7684	35728
531	7698	35715
532	7712	35697
533	7727	35683
534	7741	35668
535	7755	35653
536	7771	35646
537	7788	35643
538	7809	35659
539	7826	35653
540	7841	35642
541	7860	35647
542	7876	35640
543	7892	35631
544	7907	35620
545	7923	35613
546	7941	35614
547	7955	35598
548	7970	35585
549	7984	35569
550	7999	35554
551	8016	35549
552	8032	35542
553	8047	35532
554	8063	35522
555	8079	35515
556	8095	35507
557	8110	35492
558	8126	35484
559	8141	35471
560	8157	35465
561	8175	35466
562	8191	35455
563	8205	35442
564	8219	35424
565	8233	35407
566	8247	35389
567	8261	35371
568	8275	35356
569	8289	35338
570	8303	35323
571	8319	35312
572	8333	35298
573	8347	35281
574	8361	35263
575	8375	35247
576	8389	35231
577	8404	35216
578	8418	35199
579	8432	35182
580	8445	35164
581	8459	35146
582	8473	35128
583	8486	35110
584	8501	35094
585	8514	35076
586	8528	35057
587	8542	35042
588	8556	35026
589	8570	35008
590	8584	34990
591	8597	34971
592	8611	34954
593	8624	34934
594	8638	34916
595	8651	34897
596	8666	34882
597	8679	34864
598	8693	34847
599	8707	34830
600	8723	34820
601	8742	34825
602	8757	34811
603	8772	34798
604	8786	34784
605	8802	34775
606	8818	34765
607	8834	34757
608	8850	34746
609	8864	34732
610	8878	34716
611	8895	34708
612	8908	34690
613	8922	34673
614	8936	34654
615	8951	34643
616	8966	34631
617	8980	34615
618	8994	34597
619	9008	34580
620	9022	34564
621	9036	34546
622	9050	34530
623	9064	34513
624	9079	34500
625	9093	34487
626	9108	34474
627	9123	34461
628	9138	34447
629	9152	34432
630	9166	34414
631	9179	34395
632	9193	34378
633	9208	34363
634	9222	34348
635	9237	34336
636	9252	34321
637	9266	34304
638	9281	34293
639	9296	34281
640	9310	34265
641	9324	34247
642	9338	34231
643	9352	34215
644	9366	34197
645	9380	34180
646	9393	34162
647	9407	34146
648	9422	34132
649	9437	34120
650	9454	34115
651	9470	34105
652	9487	34100
653	9502	34085
654	9516	34071
655	9528	34047
656	9544	34039
657	9560	34027
658	9575	34013
659	9589	33998
660	9603	33984
661	9618	33969
662	9633	33955
663	9647	33940
664	9663	33931
665	9677	33915
666	9692	33903
667	9707	33890
668	9722	33875
669	9736	33859
670	9751	33845
671	9765	33829
672	9779	33813
673	9793	33797
674	9809	33787
675	9825	33779
676	9841	33767
677	9857	33760
678	9873	33749
679	9887	33732
680	9900	33715
681	9917	33707
682	9931	33692
683	9946	33679
684	9960	33663
685	9976	33651
686	9991	33639
