iter	RMSE
<<<<<<< HEAD
0	169.0107956
1	168.2754511
2	167.5547613
3	166.8311228
4	166.1035113
5	165.4078382
6	164.6937086
7	163.9906382
8	163.2714989
9	162.5587315
10	161.8517114
11	161.1631861
12	160.4632693
13	159.7652076
14	159.0702521
15	158.4257976
16	157.7526421
17	157.0759027
18	156.4069228
19	155.7209168
20	155.0492585
21	154.3809523
22	153.7420937
23	153.0706488
24	152.4023313
25	151.743973
26	151.0945296
27	150.445378
28	149.794683
29	149.1592517
30	148.5183424
31	147.8811327
32	147.2449873
33	146.6228321
34	146.0049556
35	145.3669596
36	144.7437086
37	144.1319181
38	143.5191796
39	142.9016047
40	142.2860692
41	141.6761842
42	141.0615913
43	140.4620108
44	139.860729
45	139.2535422
46	138.6545503
47	138.0736092
48	137.4820773
49	136.9053201
50	136.3148748
51	135.7368417
52	135.1808375
53	134.5959677
54	134.01897
55	133.4484038
56	132.8873768
57	132.3162062
58	131.7545698
59	131.1952594
60	130.6354304
61	130.0845954
62	129.5416051
63	128.9852857
64	128.4417775
65	127.908814
66	127.3589878
67	126.8359988
68	126.2944467
69	125.7561054
70	125.2520205
71	124.7374026
72	124.220933
73	123.686051
74	123.1575907
75	122.6317978
76	122.1096421
77	121.6116448
78	121.0881627
79	120.5799019
80	120.1022603
81	119.6093519
82	119.1021559
83	118.5916788
84	118.096442
85	117.5905825
86	117.0958757
87	116.5960977
88	116.1271615
89	115.6573497
90	115.1738328
91	114.6844178
92	114.2022629
93	113.7197062
94	113.2508581
95	112.7902052
96	112.314265
97	111.8478001
98	111.3730923
99	110.8978597
100	110.4287766
101	109.9617046
102	109.5108375
103	109.0502223
104	108.617994
105	108.1632118
106	107.7301003
107	107.2750176
108	106.8208276
109	106.380477
110	105.935626
111	105.4945914
112	105.0505107
113	104.6150272
114	104.1797513
115	103.7392187
116	103.3155646
117	102.8923862
118	102.467929
119	102.058259
120	101.636405
121	101.227641
122	100.8015036
123	100.3796323
124	99.9681616
125	99.55610794
126	99.16777228
127	98.76298624
128	98.3600429
129	97.95144856
130	97.54425341
131	97.15295198
132	96.74412887
133	96.34655076
134	95.94786166
135	95.5521416
136	95.15857251
137	94.77183126
138	94.38128761
139	94.00641405
140	93.6105093
141	93.22285128
142	92.86591641
143	92.48548906
144	92.11508148
145	91.7513477
146	91.38867652
147	91.01055746
148	90.64577686
149	90.2753522
150	89.90686357
151	89.53029666
152	89.16062835
153	88.79207371
154	88.4355476
155	88.07190968
156	87.71036337
157	87.35619556
158	87.03242296
159	86.69631469
160	86.35378666
161	86.01405494
162	85.67543634
163	85.34772588
164	84.99967705
165	84.65905671
166	84.35108121
167	84.01781149
168	83.68734999
169	83.34427183
170	83.0246715
171	82.6964506
172	82.37036755
173	82.04346947
174	81.7150057
175	81.38085842
176	81.05352867
177	80.72973248
178	80.40643692
179	80.07928363
180	79.76513318
181	79.44614034
182	79.12926568
183	78.82672422
184	78.51836303
185	78.20441415
186	77.90292476
187	77.58714582
188	77.28104427
189	76.98005217
190	76.69136324
191	76.38256718
192	76.08517544
193	75.80138521
194	75.52458047
195	75.23684824
196	74.93769961
197	74.63599247
198	74.3366811
199	74.04838773
200	73.75179293
201	73.45722044
202	73.16616865
203	72.86882857
204	72.57921298
205	72.29335323
206	72.01390797
207	71.74349735
208	71.46324299
209	71.18185768
210	70.91137108
211	70.64886244
212	70.37278886
213	70.08960651
214	69.83506479
215	69.58863723
216	69.30215174
217	69.04220079
218	68.77780365
219	68.51671472
220	68.25416744
221	67.97722009
222	67.71651549
223	67.45003961
224	67.20415924
225	66.9592977
226	66.69622384
227	66.44513069
228	66.18542728
229	65.9248235
230	65.68399542
231	65.42022533
232	65.17899938
233	64.94736934
234	64.70437298
235	64.46575318
236	64.22799081
237	63.9853269
238	63.73547893
239	63.50012158
240	63.25809837
241	63.00999765
242	62.7613477
243	62.51410821
244	62.26896711
245	62.04520213
246	61.81322674
247	61.57615841
248	61.34878389
249	61.11306622
250	60.88676206
251	60.65203713
252	60.42371223
253	60.19387794
254	59.97546884
255	59.74183429
256	59.52092234
257	59.30383093
258	59.08231629
259	58.86002422
260	58.64551201
261	58.42503576
262	58.2049666
263	57.9957233
264	57.77497974
265	57.5566409
266	57.35020557
267	57.14648575
268	56.92933571
269	56.73741979
270	56.53478454
271	56.34406731
272	56.14340008
273	55.9560336
274	55.75508638
275	55.54854792
276	55.34370547
277	55.14826718
278	54.94424536
279	54.74021535
280	54.53445349
281	54.34462471
282	54.14183217
283	53.9448293
284	53.74731639
285	53.55934953
286	53.36073132
287	53.17510382
288	52.98774368
289	52.79143201
290	52.61157844
291	52.42232349
292	52.23057853
293	52.03789155
294	51.85823908
295	51.68391632
296	51.49188495
297	51.30342505
298	51.12298704
299	50.93313571
300	50.75223843
301	50.56894924
302	50.4073067
303	50.22534758
304	50.03638382
305	49.85772405
306	49.67844396
307	49.49980937
308	49.31920836
309	49.16494597
310	48.99671107
311	48.82583343
312	48.65948863
313	48.49097854
314	48.32895856
315	48.16402734
316	48.00413075
317	47.83175682
318	47.66364741
319	47.4933277
320	47.33486776
321	47.17418962
322	47.01503201
323	46.86976899
324	46.72243342
325	46.54927549
326	46.39453568
327	46.23526262
328	46.09503716
329	45.94735639
330	45.803138
331	45.64813206
332	45.48247077
333	45.33071017
334	45.18648722
335	45.04832781
336	44.90271619
337	44.77205339
338	44.62318129
339	44.47106489
340	44.33953637
341	44.20177665
342	44.04516399
343	43.89349158
344	43.74262543
345	43.59858532
346	43.45273802
347	43.3039729
348	43.15563632
349	43.00939535
350	42.86593041
351	42.71508005
352	42.5607006
353	42.42822082
354	42.30483157
355	42.15789648
356	42.02131229
357	41.8823223
358	41.74264054
359	41.6032321
360	41.46964694
361	41.32559917
362	41.17448376
363	41.03820554
364	40.90259832
365	40.78562439
366	40.66226421
367	40.54146993
368	40.42166838
369	40.27676007
370	40.16197292
371	40.0309133
372	39.91353246
373	39.79694016
374	39.67844867
375	39.55822836
376	39.42847365
377	39.30343871
378	39.17347667
379	39.06037308
380	38.95839284
381	38.83321236
382	38.71093857
383	38.57689355
384	38.45374896
385	38.34983447
386	38.2354211
387	38.11684982
388	38.00317002
389	37.89273755
390	37.77692521
391	37.66875428
392	37.5503355
393	37.43781118
394	37.32820124
395	37.2178355
396	37.11160632
397	36.99340661
398	36.89698829
399	36.79129999
400	36.68112961
401	36.56744373
402	36.45649771
403	36.34192536
404	36.24692685
405	36.13483735
406	36.04073132
407	35.92029234
408	35.81632918
409	35.7224407
410	35.61104904
411	35.49401013
412	35.38940416
413	35.29327062
414	35.2006016
415	35.11425329
416	35.00877166
417	34.90404213
418	34.79717844
419	34.71175953
420	34.6156806
421	34.50636663
422	34.40408662
423	34.30741216
424	34.20847991
425	34.10792056
426	34.01108527
427	33.92238474
428	33.83736876
429	33.74875452
430	33.64651528
431	33.5504796
432	33.45032533
433	33.36430302
434	33.26586309
435	33.18122217
436	33.09035647
437	32.98144346
438	32.89236383
439	32.80669393
440	32.72118175
441	32.63939187
442	32.54774773
443	32.44892669
444	32.35725439
445	32.26760046
446	32.16656634
447	32.08960341
448	32.00543478
449	31.93960581
450	31.8554948
451	31.77847746
452	31.69126786
453	31.62303237
454	31.53501303
455	31.44764557
456	31.35853701
457	31.27993664
458	31.19187732
459	31.11029951
460	31.03618026
461	30.9574829
462	30.87096902
463	30.79072307
464	30.70071373
465	30.62775598
466	30.54652109
467	30.4699064
468	30.39744793
469	30.30896861
470	30.2339783
471	30.16210797
472	30.07645181
473	29.99750092
474	29.92048388
475	29.83915829
476	29.76345263
477	29.68280432
478	29.60876944
479	29.52733031
480	29.45909635
481	29.38527668
482	29.30846135
483	29.2318152
484	29.16309152
485	29.08607282
486	29.00718407
487	28.93643727
488	28.8655192
489	28.79184614
490	28.71556335
491	28.64568458
492	28.57782203
493	28.50394495
494	28.43510413
495	28.36063924
496	28.30392866
497	28.24583953
498	28.17350828
499	28.10673154
500	28.04449589
501	27.97204158
502	27.91389399
503	27.85072582
504	27.77497992
505	27.71053544
506	27.63794945
507	27.5881053
508	27.52228821
509	27.44521504
510	27.39172535
511	27.32136051
512	27.25447661
513	27.19642715
514	27.12605153
515	27.05803947
516	26.99480932
517	26.94640196
518	26.89302975
519	26.82754474
520	26.76110842
521	26.70843848
522	26.64212029
523	26.57939457
524	26.53495891
525	26.47683736
526	26.40486066
527	26.3360634
528	26.27853374
529	26.21121434
530	26.1705298
531	26.11295458
532	26.04155216
533	25.98520035
534	25.93249863
535	25.87540139
536	25.82063057
537	25.77090932
538	25.70926485
539	25.64453225
540	25.59164376
541	25.54240515
542	25.47764784
543	25.41044202
544	25.33740816
545	25.28433649
546	25.2299316
547	25.17151703
548	25.11967922
549	25.06747512
550	25.01426309
551	24.96028463
552	24.91497551
553	24.85766097
554	24.80700259
555	24.74702646
556	24.68879464
557	24.63775299
558	24.58235708
559	24.52562685
560	24.49073704
561	24.43279849
562	24.37410883
563	24.31949815
564	24.26445648
565	24.21290877
566	24.15884804
567	24.12094221
568	24.07142151
569	24.0194978
570	23.96971384
571	23.92061268
572	23.87443922
573	23.82581809
574	23.78157602
575	23.72539489
576	23.68106999
577	23.63598925
578	23.58754553
579	23.55321988
580	23.5079096
581	23.46825139
582	23.42145431
583	23.38024608
584	23.32274094
585	23.27824818
586	23.2296928
587	23.17698846
588	23.13604267
589	23.09229537
590	23.04278044
591	22.99265521
592	22.94784822
593	22.8968408
594	22.84895791
595	22.80459674
596	22.75428343
597	22.71288585
598	22.663176
599	22.62177152
600	22.58159293
601	22.54331683
602	22.50275378
603	22.46231594
604	22.41972335
605	22.3802772
606	22.33873101
607	22.29992746
608	22.25156417
609	22.20750927
610	22.16338478
611	22.11640328
612	22.07938135
613	22.03470205
614	21.99313688
615	21.95609757
616	21.91934651
617	21.8763445
618	21.83180188
619	21.78783685
620	21.73625185
621	21.69465928
622	21.65371125
623	21.61839835
624	21.57595027
625	21.54205446
626	21.50637303
627	21.47369429
628	21.43313888
629	21.39857088
630	21.36457793
